"maternalAge" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max"
"202" 12 "nullDamageQuality" 0 0 2 0 0 0 0 0 0 4 0.6 0 4
"203" 0 "nullDamageQualityResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"204" 1 "nullDamageQualityResource" 3441 3418 3425 3425 3446 3453 3478 3460 3493 3400 3443.9 3400 3493
"205" 2 "nullDamageQualityResource" 2410 2349 2380 2332 2408 2422 2422 2387 2456 2359 2392.5 2332 2456
"206" 3 "nullDamageQualityResource" 1675 1665 1658 1625 1675 1723 1688 1650 1750 1671 1678 1625 1750
"207" 4 "nullDamageQualityResource" 1163 1150 1147 1133 1137 1173 1151 1143 1199 1099 1149.5 1099 1199
"208" 5 "nullDamageQualityResource" 784 806 791 776 799 821 813 756 835 751 793.2 751 835
"209" 6 "nullDamageQualityResource" 520 500 514 529 539 536 527 496 561 457 517.9 457 561
"210" 7 "nullDamageQualityResource" 251 284 295 243 319 277 274 287 340 289 285.9 243 340
"211" 8 "nullDamageQualityResource" 0 18 10 0 65 2 9 27 76 11 21.8 0 76
"212" 0 "nullDamageResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"213" 1 "nullDamageResource" 3586 3569 3571 3561 3508 3576 3585 3587 3580 3558 3568.1 3508 3587
"214" 2 "nullDamageResource" 2560 2524 2538 2566 2489 2583 2546 2545 2530 2489 2537 2489 2583
"215" 3 "nullDamageResource" 1861 1785 1812 1826 1773 1875 1792 1822 1785 1783 1811.4 1773 1875
"216" 4 "nullDamageResource" 1328 1286 1288 1309 1251 1335 1302 1289 1263 1252 1290.3 1251 1335
"217" 5 "nullDamageResource" 913 863 823 901 867 925 908 873 891 857 882.1 823 925
"218" 6 "nullDamageResource" 583 550 489 600 550 611 592 545 593 547 566 489 611
"219" 7 "nullDamageResource" 182 99 216 242 129 281 229 222 252 251 210.3 99 281
"220" 8 "nullDamageResource" 0 0 0 0 0 12 0 4 2 15 3.3 0 15
"221" 0 "nullQuality" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"222" 1 "nullQuality" 4590 4611 4629 4623 4608 4614 4601 4586 4565 4588 4601.5 4565 4629
"223" 2 "nullQuality" 4284 4321 4345 4313 4254 4298 4302 4267 4253 4290 4292.7 4253 4345
"224" 3 "nullQuality" 4013 4053 4075 4057 4025 4049 4035 4009 3984 4042 4034.2 3984 4075
"225" 4 "nullQuality" 3774 3808 3822 3824 3761 3815 3827 3779 3749 3804 3796.3 3749 3827
"226" 5 "nullQuality" 3542 3589 3607 3631 3525 3569 3596 3531 3550 3570 3571 3525 3631
"227" 6 "nullQuality" 3320 3350 3395 3408 3320 3343 3373 3297 3370 3337 3351.3 3297 3408
"228" 7 "nullQuality" 3116 3118 3182 3182 3089 3153 3156 3103 3155 3126 3138 3089 3182
"229" 8 "nullQuality" 2913 2901 2957 2962 2885 2932 2969 2877 2943 2916 2925.5 2877 2969
"230" 9 "nullQuality" 2693 2676 2730 2740 2669 2735 2737 2685 2750 2696 2711.1 2669 2750
"231" 10 "nullQuality" 2474 2433 2490 2504 2448 2508 2485 2462 2524 2476 2480.4 2433 2524
"232" 11 "nullQuality" 2264 2191 2253 2285 2163 2269 2272 2238 2294 2245 2247.4 2163 2294
"233" 12 "nullQuality" 1983 1920 2032 2084 1934 1979 2016 1973 1978 2061 1996 1920 2084
"234" 13 "nullQuality" 1694 1430 1540 1801 1640 1723 1683 1712 105 1755 1508.3 105 1801
"235" 14 "nullQuality" 392 5 3 1461 1041 863 149 951 0 1368 623.3 0 1461
"236" 15 "nullQuality" 0 0 0 4 2 2 0 3 0 2 1.3 0 4
"237" 0 "nullQualityResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
