"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"3279" ".0013650" 1 7 7 ".001" 8
"3544" ".0013684" 0 0 0 ".001" 8
"3545" ".0013684" 7 1 1 ".001" 8
"3546" ".0013684" 1 2 2 ".001" 8
"3547" ".0013684" 2 3 3 ".001" 8
"3548" ".0013684" 0 4 4 ".001" 8
"3549" ".0013684" 0 5 5 ".001" 8
"3550" ".0013684" 1 6 6 ".001" 8
"3551" ".0013684" 18 7 7 ".001" 8
"3568" ".0013687" 14 0 0 ".001" 8
"3569" ".0013687" 9 1 1 ".001" 8
"3570" ".0013687" 8 2 2 ".001" 8
"3571" ".0013687" 1 3 3 ".001" 8
"3572" ".0013687" 7 4 4 ".001" 8
"3573" ".0013687" 0 5 5 ".001" 8
"3574" ".0013687" 10 6 6 ".001" 8
"3575" ".0013687" 9 7 7 ".001" 8
"3584" ".0013689" 3 0 0 ".001" 8
"3585" ".0013689" 8 1 1 ".001" 8
"3586" ".0013689" 3 2 2 ".001" 8
"3587" ".0013689" 1 3 3 ".001" 8
"3588" ".0013689" 0 4 4 ".001" 8
"3589" ".0013689" 3 5 5 ".001" 8
"3590" ".0013689" 0 6 6 ".001" 8
"3591" ".0013689" 6 7 7 ".001" 8
"3664" ".0013699" 3 0 0 ".001" 8
"3665" ".0013699" 2 1 1 ".001" 8
"3666" ".0013699" 5 2 2 ".001" 8
"3667" ".0013699" 5 3 3 ".001" 8
"3668" ".0013699" 1 4 4 ".001" 8
"3669" ".0013699" 4 5 5 ".001" 8
"3670" ".0013699" 11 6 6 ".001" 8
"3671" ".0013699" 37 7 7 ".001" 8
"3696" ".0013703" 8 0 0 ".001" 8
"3697" ".0013703" 2 1 1 ".001" 8
"3698" ".0013703" 3 2 2 ".001" 8
"3699" ".0013703" 2 3 3 ".001" 8
"3700" ".0013703" 3 4 4 ".001" 8
"3701" ".0013703" 2 5 5 ".001" 8
"3702" ".0013703" 9 6 6 ".001" 8
"3703" ".0013703" 5 7 7 ".001" 8
"3768" ".0013712" 12 0 0 ".001" 8
"3769" ".0013712" 16 1 1 ".001" 8
"3770" ".0013712" 13 2 2 ".001" 8
"3771" ".0013712" 8 3 3 ".001" 8
"3772" ".0013712" 3 4 4 ".001" 8
"3773" ".0013712" 4 5 5 ".001" 8
"3774" ".0013712" 1 6 6 ".001" 8
"3775" ".0013712" 2 7 7 ".001" 8
"3792" ".0013715" 4 0 0 ".001" 8
"3793" ".0013715" 7 1 1 ".001" 8
"3794" ".0013715" 2 2 2 ".001" 8
"3795" ".0013715" 3 3 3 ".001" 8
"3796" ".0013715" 8 4 4 ".001" 8
"3797" ".0013715" 33 5 5 ".001" 8
"3798" ".0013715" 9 6 6 ".001" 8
"3799" ".0013715" 0 7 7 ".001" 8
"3912" ".0013730" 3 0 0 ".001" 8
"3913" ".0013730" 2 1 1 ".001" 8
"3914" ".0013730" 0 2 2 ".001" 8
"3915" ".0013730" 9 3 3 ".001" 8
"3916" ".0013730" 4 4 4 ".001" 8
"3917" ".0013730" 1 5 5 ".001" 8
"3918" ".0013730" 7 6 6 ".001" 8
"3919" ".0013730" 14 7 7 ".001" 8
"3991" ".0013739" 0 0 0 ".001" 9
"3992" ".0013739" 1 1 1 ".001" 9
"3993" ".0013739" 3 2 2 ".001" 9
"3994" ".0013739" 3 3 3 ".001" 9
"3995" ".0013739" 5 4 4 ".001" 9
"3996" ".0013739" 1 5 5 ".001" 9
"3997" ".0013739" 3 6 6 ".001" 9
"3998" ".0013739" 0 7 7 ".001" 9
"3999" ".0013739" 5 8 8 ".001" 9
"4072" ".0013748" 1 0 0 ".001" 9
"4073" ".0013748" 2 1 1 ".001" 9
"4074" ".0013748" 4 2 2 ".001" 9
"4075" ".0013748" 4 3 3 ".001" 9
"4076" ".0013748" 1 4 4 ".001" 9
"4077" ".0013748" 2 5 5 ".001" 9
"4078" ".0013748" 2 6 6 ".001" 9
"4079" ".0013748" 2 7 7 ".001" 9
"4080" ".0013748" 2 8 8 ".001" 9
"4126" ".0013754" 11 0 0 ".001" 9
"4127" ".0013754" 6 1 1 ".001" 9
"4128" ".0013754" 4 2 2 ".001" 9
"4129" ".0013754" 4 3 3 ".001" 9
"4130" ".0013754" 4 4 4 ".001" 9
"4131" ".0013754" 10 5 5 ".001" 9
"4132" ".0013754" 40 6 6 ".001" 9
"4133" ".0013754" 6 7 7 ".001" 9
"4134" ".0013754" 26 8 8 ".001" 9
"4144" ".0013756" 7 0 0 ".001" 9
"4145" ".0013756" 1 1 1 ".001" 9
"4146" ".0013756" 4 2 2 ".001" 9
"4147" ".0013756" 0 3 3 ".001" 9
"4148" ".0013756" 11 4 4 ".001" 9
"4149" ".0013756" 4 5 5 ".001" 9
"4150" ".0013756" 0 6 6 ".001" 9
"4151" ".0013756" 10 7 7 ".001" 9
"4152" ".0013756" 21 8 8 ".001" 9
"4189" ".0013761" 4 0 0 ".001" 9
"4190" ".0013761" 14 1 1 ".001" 9
"4191" ".0013761" 0 2 2 ".001" 9
"4192" ".0013761" 7 3 3 ".001" 9
"4193" ".0013761" 1 4 4 ".001" 9
"4194" ".0013761" 0 5 5 ".001" 9
"4195" ".0013761" 19 6 6 ".001" 9
"4196" ".0013761" 2 7 7 ".001" 9
"4197" ".0013761" 0 8 8 ".001" 9
